id	Prefeed_HiCHO_mean	T1_LoCHO_PROT_mean	theta	prob	log2FC	P	level_1	level_2	level_3	ko_name	color	sig	label_hjust	label_nudge
K21749	0.656966195797384	2.58506043869861	-0.784632408056718	0.777309503791935	-1.97630696745521	0.222690496208065	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	CMAS; N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.43 2.7.7.92]	lightblue	notsig	0	0.05
K20118	81.0020633211464	246.260115441191	-2.02434007464837	0.987866280887378	-1.60415242372547	0.0121337191126217	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]	blue	sig	0	0.05
K02779	17.2550836296801	48.2435676893821	-1.15581788073122	0.897812060324667	-1.48331513474473	0.102187939675333	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]	lightblue	notsig	0	0.05
K00849	327.442056589478	829.03067694747	-2.25149008999626	0.991508254488179	-1.34018585415625	0.00849174551182108	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	galK; galactokinase [EC:2.7.1.6]	blue	sig	0	0.05
K00976	3.3761576204134	7.73930232736424	-0.803455868511608	0.78352887597708	-1.19682125826496	0.21647112402292	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	FPGT; fucose-1-phosphate guanylyltransferase [EC:2.7.7.30]	lightblue	notsig	0	0.05
K02791	7.94266146445913	17.6813402242772	-0.578523465029721	0.597903460503084	-1.15453321486837	0.402096539496916	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]	lightblue	notsig	0	0.05
K15779	3.1863731329864	6.95990964215476	-0.579020657769171	0.598626883097493	-1.12715335595671	0.401373116902507	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	lightblue	notsig	0	0.05
K25314	48.1377043711735	97.6620932114964	-1.17332024454185	0.904571698036631	-1.02063135680937	0.0954283019633686	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	FKGP, fkp; fucokinase / fucose-1-phosphate guanylyltransferase [EC:2.7.1.52 2.7.7.30]	lightblue	notsig	0	0.05
K00845	1.14246078821736	2.22513712079693	-0.588552780727318	0.610753977137798	-0.961749593128465	0.389246022862202	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	glk; glucokinase [EC:2.7.1.2]	lightblue	notsig	0	0.05
K02804	193.964200810535	376.355877835556	-1.42925028461947	0.954553535535531	-0.956307098725661	0.0454464644644689	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	nagE; N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]	blue	sig	0	0.05
K15910	3.86314798870881	7.43724645614236	-0.514880569603983	0.518497488590774	-0.94499163599142	0.481502511409226	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	pglE; UDP-N-acetylbacillosamine transaminase [EC:2.6.1.34]	lightblue	notsig	0	0.05
K00790	1228.67071354139	2241.08261026482	-1.72837818395123	0.969655677890641	-0.867097508054528	0.0303443221093588	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	blue	sig	0	0.05
K18431	3.52350921937655	6.30228223194377	-0.500673905841192	0.498725299731054	-0.838861374355721	0.501274700268946	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	legF, ptmB; CMP-N,N'-diacetyllegionaminic acid synthase [EC:2.7.7.82]	lightblue	notsig	0	0.05
K01209	185.43185066815	325.117859277655	-1.09396275087936	0.893047997544738	-0.81007373840081	0.106952002455262	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	abfA; alpha-L-arabinofuranosidase [EC:3.2.1.55]	lightblue	notsig	0	0.05
K15913	5.90453587469309	10.2508330965263	-0.554470920652589	0.562647063451849	-0.795845597586828	0.437352936548151	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	pglD; UDP-N-acetylbacillosamine N-acetyltransferase [EC:2.3.1.203]	lightblue	notsig	0	0.05
K13015	3.42191633749068	5.90932451363277	-0.47767046977795	0.466965831587031	-0.788188739661889	0.533034168412969	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	lightblue	notsig	0	0.05
K13381	1.36782198456742	2.11768151334672	-0.24662241385437	0.204505139577932	-0.630605150284513	0.795494860422068	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	chiA; bifunctional chitinase/lysozyme [EC:3.2.1.14 3.2.1.17]	lightblue	notsig	0	0.05
K13019	2.3254798540338	3.56496943156212	-0.360578097752593	0.389820437491699	-0.616361264445559	0.610179562508301	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	wbpI, wlbD; UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]	lightblue	notsig	0	0.05
K22925	0.884250753402055	1.2781397020853	-0.291599545931963	0.294847701769548	-0.531518084820566	0.705152298230452	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	tviC, vipB; UDP-N-acetylglucosaminuronic acid 4-epimerase [EC:5.1.3.-]	lightblue	notsig	0	0.05
K18430	13.5094214940461	19.4884325960019	-0.348224168883573	0.37757159444479	-0.528652166736733	0.62242840555521	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	legI, neuB2; N,N'-diacetyllegionaminate synthase [EC:2.5.1.101]	lightblue	notsig	0	0.05
K09001	8.25731689472952	11.8522424901338	-0.336581158156152	0.365309874270673	-0.52141507008955	0.634690125729327	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]	lightblue	notsig	0	0.05
K05305	6.14750426957806	8.46075325758604	-0.264286598068865	0.239718544240649	-0.460785279838549	0.760281455759351	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	FUK; fucokinase [EC:2.7.1.52]	lightblue	notsig	0	0.05
K00992	62.0987735761826	82.2026393731002	-0.319810840439972	0.344262935353236	-0.404619940765354	0.655737064646764	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]	lightblue	notsig	0	0.05
K15895	0.474058513780255	0.624344664842421	-0.277414229323747	0.266427211607394	-0.397277533889967	0.733572788392606	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	pseC; UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase [EC:2.6.1.92]	lightblue	notsig	0	0.05
K13017	2.96190967545776	3.87779124517969	-0.214590516235293	0.173987451798826	-0.388707494533139	0.826012548201174	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	wbpE, wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]	lightblue	notsig	0	0.05
K08678	1.24280049824535	1.6114845666165	-0.24247382810436	0.197608509554791	-0.37479564664127	0.802391490445209	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	UXS1, uxs; UDP-glucuronate decarboxylase [EC:4.1.1.35]	lightblue	notsig	0	0.05
K04042	595.24048656782	770.856319129046	-0.624659221557411	0.637332912332217	-0.372989321665919	0.362667087667783	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	lightblue	notsig	0	0.05
K18675	82.5946928235733	106.856224128771	-0.318445450775798	0.342301666957775	-0.371549955691414	0.657698333042225	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	chbP; N,N'-diacetylchitobiose phosphorylase [EC:2.4.1.280]	lightblue	notsig	0	0.05
K10012	22.3504438302633	28.9120004639877	-0.321150923272184	0.346150122095094	-0.371364954049825	0.653849877904906	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]	lightblue	notsig	0	0.05
K19632	0.580978782458867	0.744155425262582	-0.197752750433263	0.171950618894475	-0.35711849907108	0.828049381105525	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	rfbJ; CDP-abequose synthase [EC:1.1.1.341]	lightblue	notsig	0	0.05
K18677	0.499489321878539	0.628691747469089	-0.202664124446585	0.171594617956496	-0.331898989383383	0.828405382043504	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	GALAK; galacturonokinase [EC:2.7.1.44]	lightblue	notsig	0	0.05
K00978	43.5977641240056	54.4823140841017	-0.321170221473861	0.346177197914631	-0.321533832287705	0.653822802085369	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	rfbF; glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	lightblue	notsig	0	0.05
K03431	1154.21385897357	1426.24496312902	-0.594838534003995	0.616589866503008	-0.305311232482704	0.383410133496992	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	glmM; phosphoglucosamine mutase [EC:5.4.2.10]	lightblue	notsig	0	0.05
K13016	1.08126821641445	1.31761138221734	-0.102382782882139	0.265038346374419	-0.285200484563439	0.734961653625581	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	lightblue	notsig	0	0.05
K00820	1051.45357831724	1261.06545403519	-0.715254964241198	0.74040872592606	-0.262258002423008	0.25959127407394	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	lightblue	notsig	0	0.05
K08679	2.59541898473293	3.09095438399504	-0.120927820678635	0.234751548555778	-0.252084908083488	0.765248451444222	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	GAE, cap1J; UDP-glucuronate 4-epimerase [EC:5.1.3.6]	lightblue	notsig	0	0.05
K02564	1836.06103930855	2154.1297025702	-0.69571910136863	0.729089088323364	-0.230491097266342	0.270910911676636	09100 Metabolism	09101 Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]	lightblue	notsig	0	0.05
